%% T1_W T1_D T1_L T1_WLast6 T1_DLast6 T1_LLast6 T1_WHomeLast6 T1_DHomeLast6 T1_LHomeLast6 T1_W1v1_last6 T1_D1v1_last6 T1_L1v1_last6
%% T2_W T2_D T2_L T2_WLast6 T2_DLast6 T2_LLast6 T2_WAwayLast6 T2_DAwayLast6 T2_LAwayLast6
%% Label (1 == Home, X == Draw, 2 == Away)

% Насионал Мадейра - Витория Гимараеш 02.01.19 Pt1
0.29 0.29 0.43 3.0 2.0 1.0 2.0 1.0 3.0 2.0 3.0 1.0     0.50 0.29 0.21 4.0 2.0 0.0 3.0 2.0 1.0     1

% Боависта - Витория Сетубал 02.01.19 Pt1
0.21 0.29 0.50 1.0 3.0 2.0 2.0 1.0 3.0 4.0 2.0 0.0     0.36 0.14 0.50 2.0 0.0 4.0 2.0 2.0 2.0     1

% Спортинг Брага - Маритимо 02.01.19 Pt1
0.64 0.21 0.14 4.0 0.0 2.0 5.0 1.0 0.0 3.0 1.0 2.0     0.21 0.14 0.64 0.0 1.0 5.0 1.0 1.0 4.0     1

% Кардиф Сити - Тотнъм 01.01.19 PR
0.25 0.15 0.60 2.0 1.0 3.0 4.0 0.0 2.0 0.33 1.33 4.33     0.75 0.00 0.25 4.0 1.0 1.0 4.0 1.0 1.0     2

% Борнeмут - Уотфорд 02.01.19 PR
0.40 0.10 0.50 1.0 0.0 5.0 3.0 0.0 3.0 1.0 4.0 1.0     0.40 0.20 0.40 2.0 2.0 2.0 2.0 2.0 2.0     X

% Челси - Саутхямптън 02.01.19 PR
0.65 0.20 0.15 4.0 1.0 1.0 4.0 1.0 1.0 6.0 0.0 0.0     0.15 0.30 0.55 2.0 0.0 4.0 1.0 1.0 4.0     X

% Хъдърсфийлд Таун - Бърнли 02.01.19 PR
0.10 0.20 0.70 0.0 0.0 6.0 1.0 1.0 4.0 0.0 3.0 3.0     0.20 0.15 0.65 2.0 0.0 4.0 0.0 1.0 5.0     2

% Уест Хям - Брайтън 02.01.19 PR
0.40 0.15 0.45 4.0 0.0 2.0 3.0 0.0 3.0 3.0 0.0 3.0     0.35 0.20 0.45 2.0 1.0 3.0 2.0 0.0 4.0     X

% Уулвърхямптън - Кристъл Палас 02.01.19 PR
0.40 0.25 0.35 4.0 1.0 1.0 2.0 0.0 4.0 2.0 1.0 3.0     0.25 0.20 0.55 2.0 1.0 3.0 1.0 1.0 4.0     2

