% Насионал Мадейра - Витория Гимараеш 02.01.19 Pt1
4.0 4.0 6.0 3.0 2.0 1.0 2.0 1.0 3.0 2.0 3.0 1.0     7.0 4.0 3.0 4.0 2.0 0.0 3.0 2.0 1.0     1

% Боависта - Витория Сетубал 02.01.19 Pt1
3.0 4.0 7.0 1.0 3.0 2.0 2.0 1.0 3.0 4.0 2.0 0.0     5.0 2.0 7.0 2.0 0.0 4.0 2.0 2.0 2.0     1

% Спортинг Брага - Маритимо 02.01.19 Pt1
9.0 3.0 2.0 4.0 0.0 2.0 5.0 1.0 0.0 3.0 1.0 2.0     3.0 2.0 9.0 0.0 1.0 5.0 1.0 1.0 4.0     1

% Борнeмут - Уотфорд 02.01.19 PR
8.0 2.0 10.0 1.0 0.0 5.0 3.0 0.0 3.0 1.0 4.0 1.0     8.0 4.0 8.0 2.0 2.0 2.0 2.0 2.0 2.0     X

% Челси - Саутхямптън 02.01.19 PR
13.0 4.0 3.0 4.0 1.0 1.0 4.0 1.0 1.0 6.0 0.0 0.0     3.0 6.0 11.0 2.0 0.0 4.0 1.0 1.0 4.0     X

% Хъдърсфийлд Таун - Бърнли 02.01.19 PR
2.0 4.0 14.0 0.0 0.0 6.0 1.0 1.0 4.0 0.0 3.0 3.0     4.0 3.0 13.0 2.0 0.0 4.0 0.0 1.0 5.0     2

% Уест Хям - Брайтън 02.01.19 PR
8.0 3.0 9.0 4.0 0.0 2.0 3.0 0.0 3.0 3.0 0.0 3.0     7.0 4.0 9.0 2.0 1.0 3.0 2.0 0.0 4.0     X

% Уулвърхямптън - Кристъл Палас 02.01.19 PR
8.0 5.0 7.0 4.0 1.0 1.0 2.0 0.0 4.0 2.0 1.0 3.0     5.0 4.0 11.0 2.0 1.0 3.0 1.0 1.0 4.0     2

% Нюкясъл - Манчестър Юнайтед 02.01.19 PR
4.0 6.0 10.0 1.0 3.0 2.0 2.0 1.0 3.0 1.0 2.0 3.0     10.0 5.0 5.0 4.0 0.0 2.0 2.0 1.0 3.0     2

% Манчестър Сити - Ливърпул 03.01.19 PR
15.0 2.0 3.0 3.0 1.0 2.0 5.0 0.0 1.0 1.0 2.0 3.0     17.0 3.0 0.0 6.0 0.0 0.0 4.0 0.0 2.0     1

% Рио Аве - Морейрензе 02.01.19 Pt1
5.0 4.0 5.0 0.0 2.0 4.0 3.0 2.0 1.0 3.0 1.0 2.0     7.0 1.0 6.0 4.0 0.0 2.0 2.0 0.0 4.0     2

% Шавеш - Фейрензе 03.01.19 Pt1
2.0 1.0 11.0 0.0 0.0 6.0 1.0 1.0 4.0 2.0 2.0 2.0     2.0 4.0 8.0 0.0 1.0 5.0 0.0 0.0 6.0     X

% Спортинг Лисабон - Беленензеш 03.01.19 Pt1
10.0 1.0 3.0 5.0 0.0 1.0 5.0 0.0 1.0 5.0 0.0 1.0     5.0 7.0 2.0 3.0 3.0 0.0 1.0 5.0 0.0     1

% Авеш - Порто 03.01.19 Pt1
