% Benfica - Rio Ave, 2019-01-06, Primeira Liga, 369926
% >369926 32 10 2 3 4.33 0.33 1.33 3.33 1.33 1.33 5.0 1.0 0.0      19 5 4 6 0.0 2.0 4.0 1.33 1.33 3.33 0.0 1.0 5.0      ?

% Feirense - Santa Clara, 2019-01-06, Primeira Liga, 369927
% >369927 11 2 5 8 0.0 2.0 4.0 1.0 2.0 3.0 2.33 2.33 1.33      20 6 2 7 2.0 0.0 4.0 3.66 0.66 1.6600000000000001 1.33 2.33 2.33      ?

% Belenenses - Vitoria de Guimaraes, 2019-01-06, Primeira Liga, 369929
22 5 7 3 3.0 2.0 1.0 3.66 0.66 1.6600000000000001 1.0 4.0 1.0      25 7 4 4 4.0 1.0 1.0 1.6600000000000001 2.66 1.6600000000000001 1.0 4.0 1.0      1

% SC Braga - Boavista, 2019-01-06, Primeira Liga, 369933
33 10 3 2 3.66 0.66 1.6600000000000001 3.33 1.33 1.33 2.0 2.0 2.0      16 4 4 7 2.0 2.0 2.0 1.0 2.0 3.0 2.0 2.0 2.0      1

% Vitoria de Setubal - Chaves, 2019-01-06, Primeira Liga, 369934
17 5 2 8 2.0 0.0 4.0 2.0 1.0 3.0 1.33 3.33 1.33      8 2 2 11 0.0 1.0 5.0 1.0 1.0 4.0 1.33 3.33 1.33      X

% Mafra - Pacos de Ferreira, 2019-01-06, Segunda Liga, 369942
24 7 3 5 2.0 0.0 4.0 2.66 1.6600000000000001 1.6600000000000001 2.0 2.0 2.0      33 11 0 3 5.0 0.0 1.0 4.0 1.0 1.0 2.0 2.0 2.0      X

% Arouca - Farense, 2019-01-06, Segunda Liga, 369943
% >369943 12 3 3 8 0.0 2.0 4.0 1.0 2.0 3.0 2.0 2.0 2.0      22 6 4 5 2.0 2.0 2.0 2.66 1.6600000000000001 1.6600000000000001 2.0 2.0 2.0      ?

% Famalicao - Varzim, 2019-01-06, Segunda Liga, 369944
% >369944 33 10 3 2 4.0 2.0 0.0 1.6600000000000001 3.66 0.66 1.0 1.0 4.0      18 5 3 6 2.0 2.0 2.0 2.33 2.33 1.33 4.0 1.0 1.0      ?

% Sevilla - Atletico Madrid, 2019-01-06, Liga BBVA, 370105
32 9 5 3 2.33 3.33 0.33 3.33 1.33 1.33 3.0 0.0 3.0      34 9 7 1 3.0 3.0 0.0 2.0 3.0 1.0 3.0 0.0 3.0      X

% Getafe - Barcelona, 2019-01-06, Liga BBVA, 370106
% >370106 25 6 7 4 2.0 3.0 1.0 2.66 0.66 2.66 0.66 1.6600000000000001 3.66      37 11 4 2 4.33 1.33 0.33 3.0 2.0 1.0 3.66 1.6600000000000001 0.66      ?

% Real Madrid - Real Sociedad, 2019-01-06, Liga BBVA, 370107
30 9 3 5 3.33 1.33 1.33 2.66 1.66 1.66 5.33 0.33 0.33      19 5 4 8 2.0 0.0 4.0 2.0 1.0 3.0 0.33 0.33 5.33      2

% Eibar - Villarreal, 2019-01-06, Liga BBVA, 370109
% >370109 21 5 6 6 2.0 4.0 0.0 2.0 4.0 0.0 3.0 1.0 2.0      16 3 7 7 1.0 4.0 1.0 0.66 3.66 1.6600000000000001 2.0 1.0 3.0      ?

% Deportivo La Coruna - Lugo, 2019-01-06, Liga Adelante, 370125
35 9 8 2 3.0 2.0 1.0 5.33 0.33 0.33 1.66 1.66 2.66      21 5 6 8 2.0 2.0 2.0 0.66 2.66 2.66 2.66 1.66 1.66      X

% Gimnastic - Cordoba, 2019-01-06, Liga Adelante, 370127
13 3 4 12 1.0 1.0 4.0 1.6600000000000001 1.6600000000000001 2.66 2.0 1.0 3.0      17 3 8 8 1.0 2.0 3.0 0.33 3.33 2.33 3.0 1.0 2.0      1

% Malaga - Reus, 2019-01-06, Liga Adelante, 370129
36 11 3 5 2.0 2.0 2.0 4.66 0.66 0.66 2.0 2.0 2.0      17 4 5 10 1.0 1.0 4.0 1.6600000000000001 0.66 3.66 2.0 2.0 2.0      2

% Osasuna - Cadiz, 2019-01-06, Liga Adelante, 370131
32 9 5 5 5.0 0.0 1.0 5.33 0.33 0.33 2.66 0.66 2.66      32 9 5 5 5.0 0.0 1.0 3.0 1.0 2.0 2.66 0.66 2.66      1

% Leixoes - Sporting Covilha, 2019-01-06, Segunda Liga, 373985
15 4 3 7 2.0 0.0 4.0 2.0 1.0 3.0 2.0 2.0 2.0      13 3 4 8 1.0 2.0 3.0 1.6600000000000001 0.66 3.66 2.0 2.0 2.0      1

% Oliveirense - Penafiel, 2019-01-06, Segunda Liga, 373986
12 2 6 7 0.0 2.0 4.0 1.33 2.33 2.33 2.33 2.33 1.33      23 7 2 5 4.0 0.0 2.0 2.66 0.66 2.66 1.33 2.33 2.33      1

% Getafe - Barcelona, 2019-01-06, Liga BBVA, 378093
25 6 7 4 2.0 3.0 1.0 2.66 0.66 2.66 0.66 1.6600000000000001 3.66      37 11 4 2 4.33 1.33 0.33 3.0 2.0 1.0 3.66 1.6600000000000001 0.66      2

% Feirense - Santa Clara, 2019-01-06, Primeira Liga, 378095
11 2 5 8 0.0 2.0 4.0 1.0 2.0 3.0 2.33 2.33 1.33      20 6 2 7 2.0 0.0 4.0 3.66 0.66 1.6600000000000001 1.33 2.33 2.33      X

% Benfica - Rio Ave, 2019-01-06, Primeira Liga, 378098
32 10 2 3 4.33 0.33 1.33 3.33 1.33 1.33 5.0 1.0 0.0      19 5 4 6 0.0 2.0 4.0 1.33 1.33 3.33 0.0 1.0 5.0      1

% Arouca - Farense, 2019-01-06, Segunda Liga, 378103
12 3 3 8 0.0 2.0 4.0 1.0 2.0 3.0 2.0 2.0 2.0      22 6 4 5 2.0 2.0 2.0 2.66 1.6600000000000001 1.6600000000000001 2.0 2.0 2.0      X

